Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,PWA-1,10044,Epic,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 10:43,4/1/2026 10:43,,,PWA RELEASE 1,4/20/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9a4b5ef,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i0002f:,,,PWA Sprint 1,4/1/2026 0:00,,,,,,,,,,,,,,To Do,4/1/2026 10:43
WRITE TEST CASE FOR SIGNUP BUTTON,PWA-30,10083,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:41,4/1/2026 12:41,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@421414c3,,,,,,,,,,,,,,,,0|i0008v:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:41
WRITING SYSTEM TEST CASE FOR REGISTER MODULE,PWA-31,10085,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 14:07,4/1/2026 14:59,4/2/2026 10:28,,PWA RELEASE 1,4/4/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a5e22e8,,,,,,,,,,,,,,,,0|i00093:,,,PWA Sprint 1,4/3/2026 0:00,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/1/2026 14:07
WRITE SYSTEM TEST CASES FOR REGISTRATION SUCCESS AND FAILURE FLOWS,PWA-56,10201,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:28,4/2/2026 10:28,,,,,0,"Develop system test cases to validate the complete registration process, including both successful and failed registration attempts, and the corresponding system responses.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4126deec,,,,,,,,,,,,,,,,0|i000ev:,,,PWA Sprint 1,,,,,,,,,,,,10085,PWA-31,WRITING SYSTEM TEST CASE FOR REGISTER MODULE,To Do,4/2/2026 10:28
WRITE SYSTEM TEST CASES FOR EMAIL/MOBILE VERIFICATION FLOW,PWA-57,10203,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:28,4/2/2026 10:28,,,,,0,"Prepare system test cases for the verification process of email or mobile number after registration, ensuring correct handling of verification links or codes.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2fe246e4,,,,,,,,,,,,,,,,0|i000f3:,,,PWA Sprint 1,,,,,,,,,,,,10085,PWA-31,WRITING SYSTEM TEST CASE FOR REGISTER MODULE,To Do,4/2/2026 10:28
WRITING INTEGRATION TEST CASE FOR REGISTRATION MODULE,PWA-32,10087,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 14:15,4/1/2026 14:59,4/2/2026 10:29,,PWA RELEASE 1,4/5/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@da761bd,,,,,,,,,,,,,,,,0|i0009b:,,,PWA Sprint 1,4/5/2026 0:00,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/1/2026 14:15
WRITE INTEGRATION TEST CASES FOR REGISTRATION SUCCESS AND FAILURE FLOWS,PWA-58,10205,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:29,4/2/2026 10:29,,,,,0,"Design and document integration test cases that cover both successful and failed registration scenarios, ensuring all components interact as expected.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c298802,,,,,,,,,,,,,,,,0|i000fb:,,,PWA Sprint 1,,,,,,,,,,,,10087,PWA-32,WRITING INTEGRATION TEST CASE FOR REGISTRATION MODULE,To Do,4/2/2026 10:29
WRITE INTEGRATION TEST CASES FOR ERROR HANDLING AND ROLLBACK IN REGISTRATION,PWA-59,10207,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:29,4/2/2026 10:29,,,,,0,Develop integration test cases to ensure proper error handling and rollback mechanisms are in place if any step in the registration process fails.,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b498183,,,,,,,,,,,,,,,,0|i000fj:,,,PWA Sprint 1,,,,,,,,,,,,10087,PWA-32,WRITING INTEGRATION TEST CASE FOR REGISTRATION MODULE,To Do,4/2/2026 10:29
WRITE INTEGRATION TEST CASES FOR THIRD-PARTY SERVICE INTEGRATION DURING REGISTRATION,PWA-60,10209,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:30,4/2/2026 10:30,,,,,0,"Write integration test cases to validate interactions with third-party services (e.g., SMS/email providers) used during the registration process.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21fb337b,,,,,,,,,,,,,,,,0|i000fr:,,,PWA Sprint 1,,,,,,,,,,,,10087,PWA-32,WRITING INTEGRATION TEST CASE FOR REGISTRATION MODULE,To Do,4/2/2026 10:30
WRITING FUNCTIONALITY TEST CASE FOR LOGIN MODULE,PWA-33,10155,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:52,4/2/2026 9:52,4/2/2026 9:56,,PWA RELEASE 1,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4dc97576,,,,,,,,,,,,,,,,0|i0009r:,,,PWA Sprint 1,,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/2/2026 9:52
WRITE TEST CASE FOR EMAIL TEXT FIELD,PWA-36,10161,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:56,4/2/2026 9:56,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e24e1f2,,,,,,,,,,,,,,,,0|i000af:,,,PWA Sprint 1,,,,,,,,,,,,10155,PWA-33,WRITING FUNCTIONALITY TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 9:56
WRITE TEST CASE FOR MOBILE NUMBER FIELD,PWA-37,10163,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:57,4/2/2026 9:57,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f4a1aae,,,,,,,,,,,,,,,,0|i000an:,,,PWA Sprint 1,,,,,,,,,,,,10155,PWA-33,WRITING FUNCTIONALITY TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 9:57
WRITE TEST CASE FOR PASSWORD TEXT FIELD,PWA-38,10165,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:57,4/2/2026 9:57,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ce65edb,,,,,,,,,,,,,,,,0|i000av:,,,PWA Sprint 1,,,,,,,,,,,,10155,PWA-33,WRITING FUNCTIONALITY TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 9:57
WRITE TEST CASE FOR LOGIN BUTTON,PWA-39,10167,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:58,4/2/2026 9:58,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@aafa42d,,,,,,,,,,,,,,,,0|i000b3:,,,PWA Sprint 1,,,,,,,,,,,,10155,PWA-33,WRITING FUNCTIONALITY TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 9:58
WRITE TEST CASE FOR FORGET PASSWORD BUTTON,PWA-40,10169,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:58,4/2/2026 9:58,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d5556ed,,,,,,,,,,,,,,,,0|i000bb:,,,PWA Sprint 1,,,,,,,,,,,,10155,PWA-33,WRITING FUNCTIONALITY TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 9:58
WRITING INTEGRATION TEST CASE FOR LOGIN MODULE,PWA-34,10157,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:53,4/2/2026 9:53,4/2/2026 10:30,,PWA RELEASE 1,4/4/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6934a155,,,,,,,,,,,,,,,,0|i0009z:,,,PWA Sprint 1,4/2/2026 0:00,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/2/2026 9:53
WRITE INTEGRATION TEST CASES FOR LOGIN SUCCESS AND FAILURE FLOWS,PWA-61,10211,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:31,4/2/2026 10:31,,,,,0,"Develop integration test cases to verify both successful and unsuccessful login attempts, including valid and invalid credentials.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f361bf4,,,,,,,,,,,,,,,,0|i000fz:,,,PWA Sprint 1,,,,,,,,,,,,10157,PWA-34,WRITING INTEGRATION TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 10:31
WRITE INTEGRATION TEST CASES FOR ERROR HANDLING AND ROLLBACK IN LOGIN,PWA-62,10213,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:31,4/2/2026 10:31,,,,,0,Create integration test cases to ensure proper error handling and rollback mechanisms are triggered during login failures or exceptions.,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@460449b7,,,,,,,,,,,,,,,,0|i000g7:,,,PWA Sprint 1,,,,,,,,,,,,10157,PWA-34,WRITING INTEGRATION TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 10:31
WRITE INTEGRATION TEST CASES FOR THIRD-PARTY AUTHENTICATION INTEGRATION,PWA-63,10215,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:31,4/2/2026 10:31,,,,,0,"Write integration test cases to validate the login module's interaction with third-party authentication services (e.g., Google, Facebook login).",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e21318b,,,,,,,,,,,,,,,,0|i000gf:,,,PWA Sprint 1,,,,,,,,,,,,10157,PWA-34,WRITING INTEGRATION TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 10:31
WRITING SYSTEM TEST CASE FOR LOGIN MODULE,PWA-35,10159,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 9:54,4/2/2026 9:54,4/2/2026 10:31,,PWA RELEASE 1,4/6/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c7458f9,,,,,,,,,,,,,,,,0|i000a7:,,,PWA Sprint 1,4/3/2026 0:00,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/2/2026 9:54
WRITE SYSTEM TEST CASES FOR ERROR HANDLING AND SYSTEM RECOVERY,PWA-64,10217,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:33,4/2/2026 10:33,,,,,0,"Design system test cases to ensure the login module handles system errors gracefully, provides appropriate user feedback, and recovers from failures without data loss or security breaches.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6e546870,,,,,,,,,,,,,,,,0|i000gn:,,,PWA Sprint 1,,,,,,,,,,,,10159,PWA-35,WRITING SYSTEM TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 10:33
WRITE SYSTEM TEST CASES FOR THIRD-PARTY AUTHENTICATION FLOWS,PWA-65,10219,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:33,4/2/2026 10:33,,,,,0,"Prepare system test cases to validate login via third-party authentication providers (e.g., Google, Facebook), including error handling and user data synchronization.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@216d7fb9,,,,,,,,,,,,,,,,0|i000gv:,,,PWA Sprint 1,,,,,,,,,,,,10159,PWA-35,WRITING SYSTEM TEST CASE FOR LOGIN MODULE,To Do,4/2/2026 10:33
WRITING FUNCTIONALITY TEST CASE FOR DASHBOARD / HOMEPAGE,PWA-41,10171,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:02,4/2/2026 10:02,4/2/2026 10:05,,PWA RELEASE 1,4/9/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@376705e6,,,,,,,,,,,,,,,,0|i000bj:,,,PWA Sprint 1,4/8/2026 0:00,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/2/2026 10:02
WRITE TEST CASE FOR NAVIGATION,PWA-42,10173,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:05,4/2/2026 10:05,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@823bff7,,,,,,,,,,,,,,,,0|i000br:,,,PWA Sprint 1,,,,,,,,,,,,10171,PWA-41,WRITING FUNCTIONALITY TEST CASE FOR DASHBOARD / HOMEPAGE,To Do,4/2/2026 10:05
WRITE TEST CASE FOR HEADER SECTION,PWA-43,10175,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:05,4/2/2026 10:05,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f867ad4,,,,,,,,,,,,,,,,0|i000bz:,,,PWA Sprint 1,,,,,,,,,,,,10171,PWA-41,WRITING FUNCTIONALITY TEST CASE FOR DASHBOARD / HOMEPAGE,To Do,4/2/2026 10:05
WRITE SYSTEM TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,PWA-44,10177,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,High,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:12,4/2/2026 10:12,4/2/2026 10:34,,PWA RELEASE 1,4/10/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38a01292,,,,,,,,,,,,,,,,0|i000c7:,,,PWA Sprint 1,4/9/2026 0:00,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/2/2026 10:12
WRITE SYSTEM TEST CASES FOR DASHBOARD DATA INTEGRITY AND CONSISTENCY,PWA-66,10221,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:34,4/2/2026 10:34,,,,,0,Design and document system-level test cases to verify that the dashboard/homepage displays accurate and consistent data across different user sessions and after data updates.,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66d628bb,,,,,,,,,,,,,,,,0|i000h3:,,,PWA Sprint 1,,,,,,,,,,,,10177,PWA-44,WRITE SYSTEM TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,To Do,4/2/2026 10:34
WRITE SYSTEM TEST CASES FOR DASHBOARD PERFORMANCE UNDER LOAD,PWA-67,10223,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:34,4/2/2026 10:34,,,,,0,Develop system test cases to assess the dashboard/homepage's responsiveness and stability when accessed by multiple users simultaneously or under high data volume.,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1de11ca,,,,,,,,,,,,,,,,0|i000hb:,,,PWA Sprint 1,,,,,,,,,,,,10177,PWA-44,WRITE SYSTEM TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,To Do,4/2/2026 10:34
WRITE SYSTEM TEST CASES FOR DASHBOARD THIRD-PARTY INTEGRATIONS,PWA-68,10225,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:34,4/2/2026 10:34,,,,,0,Prepare system test cases to validate the correct functioning of any third-party services or APIs integrated into the dashboard/homepage module.,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1baf67f4,,,,,,,,,,,,,,,,0|i000hj:,,,PWA Sprint 1,,,,,,,,,,,,10177,PWA-44,WRITE SYSTEM TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,To Do,4/2/2026 10:34
